name: WX-H
time                 value
----                 -----
2018-12-31T23:00:04Z 70.29
2018-12-31T23:05:04Z 72.26
2018-12-31T23:10:09Z 73.18
2018-12-31T23:15:03Z 72.82
2018-12-31T23:20:09Z 72.18
2018-12-31T23:25:04Z 73.42
2018-12-31T23:30:04Z 72.78
2018-12-31T23:35:04Z 73.69
2018-12-31T23:40:03Z 71.48
2018-12-31T23:45:04Z 72.13
2018-12-31T23:50:09Z 72.00
2018-12-31T23:55:04Z 71.78
2019-01-01T00:00:04Z 69.99
2019-01-01T00:05:09Z 71.17
2019-01-01T00:10:09Z 71.71
2019-01-01T00:15:04Z 71.98
2019-01-01T00:20:08Z 71.13
2019-01-01T00:25:04Z 70.34
2019-01-01T00:30:03Z 70.02
2019-01-01T00:35:09Z 72.52
2019-01-01T00:40:03Z 69.68
2019-01-01T00:45:04Z 70.81
2019-01-01T00:50:04Z 69.55
2019-01-01T00:55:04Z 69.05
2019-01-01T01:00:03Z 69.68
2019-01-01T01:05:09Z 74.30
2019-01-01T01:10:04Z 70.16
2019-01-01T01:20:09Z 74.97
2019-01-01T01:25:03Z 70.57
2019-01-01T01:30:04Z 72.10
2019-01-01T01:35:09Z 68.94
2019-01-01T01:40:04Z 69.36
2019-01-01T01:45:04Z 71.59
2019-01-01T01:50:04Z 68.14
2019-01-01T01:55:04Z 67.72
2019-01-01T02:00:04Z 68.54
2019-01-01T02:05:03Z 68.64
2019-01-01T02:10:04Z 68.64
2019-01-01T02:15:09Z 68.13
2019-01-01T02:20:04Z 67.68
2019-01-01T02:25:09Z 68.13
2019-01-01T02:30:04Z 67.58
2019-01-01T02:35:04Z 67.08
2019-01-01T02:40:09Z 67.73
2019-01-01T02:45:04Z 68.27
2019-01-01T02:50:04Z 68.39
2019-01-01T02:55:08Z 68.55
2019-01-01T03:00:04Z 68.50
2019-01-01T03:05:09Z 69.08
2019-01-01T03:10:04Z 69.09
2019-01-01T03:15:04Z 70.63
2019-01-01T03:20:04Z 70.39
2019-01-01T03:25:04Z 70.81
2019-01-01T03:30:05Z 72.58
2019-01-01T03:35:09Z 73.05
2019-01-01T03:40:04Z 73.90
2019-01-01T03:45:04Z 71.22
2019-01-01T03:50:09Z 73.70
2019-01-01T03:55:04Z 74.58
2019-01-01T04:00:04Z 74.42
2019-01-01T04:05:03Z 73.89
2019-01-01T04:10:03Z 75.00
2019-01-01T04:15:04Z 74.52
2019-01-01T04:20:04Z 73.42
2019-01-01T04:25:03Z 73.61
2019-01-01T04:30:09Z 73.96
2019-01-01T04:35:04Z 73.08
2019-01-01T04:40:09Z 72.90
2019-01-01T04:45:03Z 73.50
2019-01-01T04:50:09Z 74.49
2019-01-01T04:55:05Z 74.95
2019-01-01T05:00:04Z 74.44
2019-01-01T05:05:09Z 76.41
2019-01-01T05:10:04Z 76.44
2019-01-01T05:15:03Z 74.87
2019-01-01T05:20:09Z 75.74
2019-01-01T05:25:04Z 74.84
2019-01-01T05:30:04Z 76.16
2019-01-01T05:35:04Z 76.96
2019-01-01T05:40:04Z 77.92
2019-01-01T05:45:08Z 78.02
2019-01-01T05:50:04Z 79.12
2019-01-01T05:55:09Z 79.08
2019-01-01T06:00:03Z 78.74
2019-01-01T06:05:09Z 79.10
2019-01-01T06:10:03Z 79.43
2019-01-01T06:15:09Z 79.00
2019-01-01T06:20:03Z 79.76
2019-01-01T06:25:10Z 79.94
2019-01-01T06:30:04Z 79.81
2019-01-01T06:35:04Z 81.45
2019-01-01T06:40:05Z 81.36
2019-01-01T06:45:05Z 81.31
2019-01-01T06:50:07Z 82.61
2019-01-01T06:55:08Z 80.55
2019-01-01T07:00:08Z 81.27
2019-01-01T07:05:04Z 80.88
2019-01-01T07:10:09Z 81.26
2019-01-01T07:15:07Z 81.30
2019-01-01T07:20:09Z 81.36
2019-01-01T07:25:03Z 81.79
2019-01-01T07:30:09Z 81.89
2019-01-01T07:35:04Z 82.15
2019-01-01T07:40:04Z 82.38
2019-01-01T07:45:07Z 81.53
2019-01-01T07:50:04Z 81.27
2019-01-01T07:55:04Z 81.10
2019-01-01T08:00:04Z 81.37
2019-01-01T08:05:08Z 81.78
2019-01-01T08:10:04Z 81.75
2019-01-01T08:15:08Z 82.74
2019-01-01T08:20:04Z 81.16
2019-01-01T08:25:09Z 80.90
2019-01-01T08:30:04Z 73.58
2019-01-01T08:35:09Z 76.16
2019-01-01T08:40:04Z 79.80
2019-01-01T08:45:04Z 78.41
2019-01-01T08:50:04Z 79.25
2019-01-01T08:55:09Z 78.20
2019-01-01T09:00:03Z 77.74
2019-01-01T09:05:05Z 77.07
2019-01-01T09:10:03Z 77.90
2019-01-01T09:15:04Z 76.27
2019-01-01T09:20:04Z 76.33
2019-01-01T09:25:09Z 78.67
2019-01-01T09:30:05Z 77.99
2019-01-01T09:35:03Z 74.37
2019-01-01T09:40:09Z 76.35
2019-01-01T09:45:03Z 77.13
2019-01-01T09:50:04Z 75.99
2019-01-01T09:55:04Z 75.60
2019-01-01T10:00:03Z 77.07
2019-01-01T10:05:05Z 78.58
2019-01-01T10:10:09Z 74.83
2019-01-01T10:15:04Z 72.94
2019-01-01T10:20:04Z 73.68
2019-01-01T10:25:03Z 70.11
2019-01-01T10:30:04Z 70.86
2019-01-01T10:35:04Z 69.65
2019-01-01T10:40:04Z 72.59
2019-01-01T10:45:03Z 70.88
2019-01-01T10:50:04Z 70.51
2019-01-01T10:55:04Z 68.49
2019-01-01T11:00:03Z 68.31
2019-01-01T11:05:04Z 70.30
2019-01-01T11:10:04Z 69.94
2019-01-01T11:15:04Z 71.64
2019-01-01T11:20:04Z 72.32
2019-01-01T11:25:04Z 73.26
2019-01-01T11:30:04Z 73.59
2019-01-01T11:35:03Z 70.12
2019-01-01T11:40:05Z 69.59
2019-01-01T11:45:03Z 71.16
2019-01-01T11:50:04Z 70.05
2019-01-01T11:55:04Z 74.34
2019-01-01T12:00:03Z 71.65
2019-01-01T12:05:04Z 72.66
2019-01-01T12:10:09Z 74.35
2019-01-01T12:15:05Z 71.72
2019-01-01T12:20:09Z 74.29
2019-01-01T12:25:04Z 73.12
2019-01-01T12:30:04Z 74.86
2019-01-01T12:35:04Z 74.19
2019-01-01T12:40:09Z 75.89
2019-01-01T12:45:04Z 75.32
2019-01-01T12:50:04Z 74.14
2019-01-01T12:55:03Z 76.93
2019-01-01T13:00:04Z 73.35
2019-01-01T13:05:04Z 69.14
2019-01-01T13:10:03Z 69.81
2019-01-01T13:15:05Z 69.86
2019-01-01T13:20:03Z 70.06
2019-01-01T13:25:04Z 72.38
2019-01-01T13:30:03Z 71.18
2019-01-01T13:35:04Z 73.34
2019-01-01T13:40:04Z 74.29
2019-01-01T13:45:09Z 73.87
2019-01-01T13:50:04Z 75.00
2019-01-01T13:55:04Z 75.47
2019-01-01T14:00:04Z 75.64
2019-01-01T14:05:04Z 76.94
2019-01-01T14:10:04Z 76.64
2019-01-01T14:15:04Z 76.51
2019-01-01T14:20:04Z 78.52
2019-01-01T14:25:09Z 77.95
2019-01-01T14:30:04Z 78.22
2019-01-01T14:35:04Z 78.65
2019-01-01T14:40:04Z 79.45
2019-01-01T14:45:04Z 79.54
2019-01-01T14:50:05Z 80.21
2019-01-01T14:55:08Z 79.98
2019-01-01T15:00:04Z 79.72
2019-01-01T15:05:09Z 81.57
2019-01-01T15:10:04Z 80.56
2019-01-01T15:15:05Z 80.23
2019-01-01T15:20:03Z 80.75
2019-01-01T15:25:04Z 81.18
2019-01-01T15:30:04Z 79.73
2019-01-01T15:35:03Z 80.80
2019-01-01T15:40:04Z 81.88
2019-01-01T15:45:09Z 81.46
2019-01-01T15:50:05Z 79.64
2019-01-01T15:55:03Z 81.66
2019-01-01T16:00:09Z 81.22
2019-01-01T16:05:04Z 80.26
2019-01-01T16:10:09Z 81.19
2019-01-01T16:15:04Z 81.44
2019-01-01T16:20:04Z 79.62
2019-01-01T16:25:04Z 82.29
2019-01-01T16:30:04Z 80.70
2019-01-01T16:35:09Z 81.94
2019-01-01T16:40:05Z 82.46
2019-01-01T16:45:08Z 82.15
2019-01-01T16:50:04Z 82.33
2019-01-01T16:55:04Z 83.35
2019-01-01T17:00:03Z 82.50
2019-01-01T17:05:04Z 83.14
2019-01-01T17:10:09Z 84.68
2019-01-01T17:15:05Z 83.78
2019-01-01T17:20:09Z 85.54
2019-01-01T17:25:04Z 84.87
2019-01-01T17:30:04Z 84.16
2019-01-01T17:40:09Z 83.08
2019-01-01T17:45:05Z 84.27
2019-01-01T17:50:04Z 85.33
2019-01-01T17:55:04Z 84.03
2019-01-01T18:00:03Z 83.89
2019-01-01T18:05:05Z 83.94
2019-01-01T18:10:03Z 83.89
2019-01-01T18:15:05Z 83.70
2019-01-01T18:20:04Z 83.13
2019-01-01T18:25:03Z 82.38
2019-01-01T18:30:04Z 83.67
2019-01-01T18:35:09Z 84.79
2019-01-01T18:40:08Z 84.05
2019-01-01T18:45:04Z 84.04
2019-01-01T18:50:04Z 83.75
2019-01-01T18:55:04Z 84.68
2019-01-01T19:00:03Z 83.48
2019-01-01T19:05:04Z 84.20
2019-01-01T19:10:04Z 82.98
2019-01-01T19:15:04Z 84.74
2019-01-01T19:20:03Z 84.97
2019-01-01T19:25:05Z 81.79
2019-01-01T19:30:05Z 81.64
2019-01-01T19:35:04Z 82.14
2019-01-01T19:40:04Z 83.19
2019-01-01T19:45:04Z 83.23
2019-01-01T19:50:05Z 83.69
2019-01-01T19:55:04Z 83.35
2019-01-01T20:00:04Z 81.91
2019-01-01T20:05:04Z 82.12
2019-01-01T20:10:03Z 82.32
2019-01-01T20:15:09Z 82.80
2019-01-01T20:20:06Z 82.49
2019-01-01T20:25:04Z 81.79
2019-01-01T20:30:04Z 83.76
2019-01-01T20:35:04Z 82.56
2019-01-01T20:40:04Z 82.33
2019-01-01T20:45:04Z 83.90
2019-01-01T20:50:05Z 83.90
2019-01-01T20:55:04Z 84.13
2019-01-01T21:00:04Z 83.77
2019-01-01T21:05:03Z 83.52
2019-01-01T21:10:04Z 84.19
2019-01-01T21:15:04Z 83.22
2019-01-01T21:20:04Z 81.29
2019-01-01T21:25:04Z 83.62
2019-01-01T21:30:04Z 82.98
2019-01-01T21:35:04Z 84.14
2019-01-01T21:40:04Z 83.48
2019-01-01T21:45:04Z 79.31
2019-01-01T21:50:04Z 83.93
2019-01-01T21:55:04Z 82.89
2019-01-01T22:00:04Z 82.91
2019-01-01T22:05:04Z 82.32
2019-01-01T22:10:03Z 82.40
2019-01-01T22:15:04Z 83.32
2019-01-01T22:20:03Z 84.65
2019-01-01T22:25:09Z 82.22
2019-01-01T22:30:06Z 83.09
2019-01-01T22:35:04Z 84.50
2019-01-01T22:40:03Z 84.00
2019-01-01T22:45:04Z 81.78
2019-01-01T22:50:04Z 82.18
2019-01-01T22:55:03Z 83.78
2019-01-01T23:00:05Z 84.23
2019-01-01T23:05:03Z 82.43
2019-01-01T23:10:04Z 82.96
2019-01-01T23:15:04Z 83.84
2019-01-01T23:20:04Z 81.76
2019-01-01T23:25:04Z 81.88
2019-01-01T23:30:03Z 80.28
2019-01-01T23:35:05Z 81.95
2019-01-01T23:40:03Z 81.92
2019-01-01T23:45:04Z 81.70
2019-01-01T23:50:04Z 83.96
2019-01-01T23:55:09Z 83.03
2019-01-02T00:00:05Z 84.97
2019-01-02T00:05:03Z 85.70
2019-01-02T00:10:09Z 86.40
2019-01-02T00:15:04Z 87.08
2019-01-02T00:20:04Z 87.20
2019-01-02T00:25:04Z 87.91
2019-01-02T00:30:04Z 87.97
2019-01-02T00:35:05Z 87.41
2019-01-02T00:40:03Z 87.54
2019-01-02T00:45:04Z 87.28
2019-01-02T00:50:03Z 88.30
2019-01-02T00:55:04Z 87.31
2019-01-02T01:00:09Z 87.11
2019-01-02T01:05:04Z 87.34
2019-01-02T01:10:08Z 89.17
2019-01-02T01:15:09Z 89.36
2019-01-02T01:20:08Z 89.02
2019-01-02T01:25:03Z 88.49
2019-01-02T01:30:04Z 89.30
2019-01-02T01:35:04Z 89.65
2019-01-02T01:40:03Z 89.16
2019-01-02T01:45:05Z 90.43
2019-01-02T01:50:05Z 88.72
2019-01-02T01:55:04Z 89.58
2019-01-02T02:00:04Z 89.20
2019-01-02T02:05:04Z 89.61
2019-01-02T02:10:04Z 89.55
2019-01-02T02:15:04Z 89.14
2019-01-02T02:20:04Z 89.40
2019-01-02T02:25:03Z 89.52
2019-01-02T02:30:04Z 89.11
2019-01-02T02:35:04Z 88.82
2019-01-02T02:40:05Z 89.23
2019-01-02T02:45:04Z 89.75
2019-01-02T02:50:04Z 88.96
2019-01-02T02:55:06Z 88.98
2019-01-02T03:00:04Z 90.74
2019-01-02T03:05:04Z 91.17
2019-01-02T03:10:04Z 89.56
2019-01-02T03:15:05Z 89.95
2019-01-02T03:20:05Z 90.24
2019-01-02T03:25:05Z 88.65
2019-01-02T03:30:04Z 90.91
2019-01-02T03:35:04Z 90.01
2019-01-02T03:40:06Z 89.23
2019-01-02T03:45:04Z 91.03
2019-01-02T03:50:04Z 91.14
2019-01-02T03:55:05Z 91.18
2019-01-02T04:00:06Z 90.93
2019-01-02T04:05:04Z 91.03
2019-01-02T04:10:04Z 88.85
2019-01-02T04:15:05Z 89.43
2019-01-02T04:20:05Z 89.38
2019-01-02T04:25:04Z 89.55
2019-01-02T04:30:06Z 89.75
2019-01-02T04:35:03Z 89.91
2019-01-02T04:40:05Z 91.02
2019-01-02T04:45:04Z 90.26
2019-01-02T04:50:06Z 88.22
2019-01-02T04:55:04Z 88.71
2019-01-02T05:00:04Z 89.56
2019-01-02T05:05:04Z 88.20
2019-01-02T05:10:03Z 88.75
2019-01-02T05:15:04Z 88.10
