name: WX-P
time                           value
----                           -----
2021-12-31T23:00:01.721108904Z 9540
2021-12-31T23:05:01.474935103Z 9539
2021-12-31T23:10:01.637158239Z 9538
2021-12-31T23:15:01.391656425Z 9537
2021-12-31T23:20:01.716703278Z 9536
2021-12-31T23:25:02.00694111Z  9536
2021-12-31T23:30:01.775040162Z 9536
2021-12-31T23:35:01.524128157Z 9536
2021-12-31T23:40:01.42510614Z  9537
2021-12-31T23:45:02.127931284Z 9535
2021-12-31T23:50:02.042023137Z 9536
2021-12-31T23:55:01.936621597Z 9535
2022-01-01T00:00:01.754943219Z 9535
2022-01-01T00:05:02.165508878Z 9534
2022-01-01T00:10:01.855887736Z 9534
2022-01-01T00:15:01.598266483Z 9535
2022-01-01T00:20:01.562038186Z 9535
2022-01-01T00:25:01.349077798Z 9536
2022-01-01T00:30:01.451252488Z 9537
2022-01-01T00:35:02.161472661Z 9536
2022-01-01T00:40:02.231416158Z 9536
2022-01-01T00:45:02.097036423Z 9536
2022-01-01T00:50:02.301631785Z 9535
2022-01-01T00:55:02.172048189Z 9535
2022-01-01T01:00:02.019276984Z 9536
2022-01-01T01:05:01.974319017Z 9535
2022-01-01T01:10:01.71321496Z  9536
2022-01-01T01:15:01.403942511Z 9536
2022-01-01T01:20:02.250033167Z 9538
2022-01-01T01:25:01.953955039Z 9537
2022-01-01T01:30:02.222014754Z 9537
2022-01-01T01:35:01.908039331Z 9535
2022-01-01T01:40:01.982865688Z 9537
2022-01-01T01:45:01.711514174Z 9535
2022-01-01T01:50:01.847389864Z 9536
2022-01-01T01:55:01.549880789Z 9535
2022-01-01T02:00:02.239731225Z 9536
2022-01-01T02:05:02.076714054Z 9535
2022-01-01T02:10:06.021198347Z 9534
2022-01-01T02:15:01.832038998Z 9536
2022-01-01T02:20:01.825650335Z 9534
2022-01-01T02:25:03.909741099Z 9535
2022-01-01T02:30:01.687229049Z 9535
2022-01-01T02:40:01.414331081Z 9534
2022-01-01T02:45:02.245827162Z 9535
2022-01-01T02:50:02.253745322Z 9532
2022-01-01T02:55:01.90905434Z  9533
2022-01-01T03:00:01.805913751Z 9534
2022-01-01T03:05:01.407767988Z 9535
2022-01-01T03:10:02.372290251Z 9534
2022-01-01T03:15:02.139332699Z 9534
2022-01-01T03:20:02.214351522Z 9535
2022-01-01T03:25:06.112808388Z 9534
2022-01-01T03:30:02.393825641Z 9533
2022-01-01T03:35:02.088685698Z 9533
2022-01-01T03:40:01.874309251Z 9533
2022-01-01T03:45:01.673488261Z 9535
2022-01-01T03:50:02.215360392Z 9535
2022-01-01T03:55:01.911990644Z 9534
2022-01-01T04:00:01.944014554Z 9535
2022-01-01T04:10:01.445817877Z 9537
2022-01-01T04:15:01.67437908Z  9536
2022-01-01T04:20:01.691116404Z 9535
2022-01-01T04:25:01.395723411Z 9536
2022-01-01T04:30:01.283202679Z 9536
2022-01-01T04:35:02.21753425Z  9537
2022-01-01T04:40:01.801124238Z 9537
2022-01-01T04:45:02.079408099Z 9538
2022-01-01T04:50:01.397660172Z 9538
2022-01-01T04:55:01.296613309Z 9537
2022-01-01T05:00:02.20177676Z  9536
2022-01-01T05:05:01.919177522Z 9536
2022-01-01T05:10:01.728351064Z 9536
2022-01-01T05:15:01.833906919Z 9536
2022-01-01T05:20:02.068649812Z 9538
2022-01-01T05:25:01.962600554Z 9536
2022-01-01T05:30:01.89126789Z  9535
2022-01-01T05:35:02.025177959Z 9535
2022-01-01T05:40:01.841596592Z 9537
2022-01-01T05:45:01.607701034Z 9536
2022-01-01T05:50:01.531632793Z 9536
2022-01-01T05:55:01.599696594Z 9537
2022-01-01T06:00:01.307391756Z 9539
2022-01-01T06:05:02.05264531Z  9539
2022-01-01T06:10:01.73758439Z  9541
2022-01-01T06:15:01.519701146Z 9539
2022-01-01T06:20:01.568680285Z 9540
2022-01-01T06:25:02.276549272Z 9540
2022-01-01T06:30:01.426804041Z 9540
2022-01-01T06:35:01.473344187Z 9540
2022-01-01T06:40:01.358206814Z 9539
2022-01-01T06:45:02.161099994Z 9540
2022-01-01T06:50:01.969448092Z 9542
2022-01-01T06:55:01.671873279Z 9542
2022-01-01T07:00:01.364666134Z 9543
2022-01-01T07:05:02.044741339Z 9543
2022-01-01T07:10:01.387243508Z 9544
2022-01-01T07:15:02.101299303Z 9547
2022-01-01T07:20:02.031530849Z 9546
2022-01-01T07:25:01.950899218Z 9548
2022-01-01T07:30:01.656610751Z 9546
2022-01-01T07:35:01.401897078Z 9547
2022-01-01T07:40:01.33544604Z  9549
2022-01-01T07:45:02.301072296Z 9549
2022-01-01T07:50:01.571013925Z 9547
2022-01-01T07:55:01.397164647Z 9546
2022-01-01T08:00:01.399042842Z 9548
2022-01-01T08:05:02.177965835Z 9547
2022-01-01T08:15:01.956298781Z 9549
2022-01-01T08:25:01.973109906Z 9551
2022-01-01T08:30:02.314549752Z 9550
2022-01-01T08:35:02.192328098Z 9552
2022-01-01T08:40:01.863085224Z 9553
2022-01-01T08:45:01.692191943Z 9552
2022-01-01T08:50:01.487135902Z 9553
2022-01-01T08:55:01.6843876Z   9554
2022-01-01T09:00:01.662284011Z 9553
2022-01-01T09:05:01.42514256Z  9555
2022-01-01T09:10:01.475903221Z 9554
2022-01-01T09:15:02.274237782Z 9554
2022-01-01T09:20:02.027064848Z 9554
2022-01-01T09:25:01.805883893Z 9554
2022-01-01T09:30:02.137681891Z 9555
2022-01-01T09:35:02.047173498Z 9554
2022-01-01T09:40:01.536353975Z 9555
2022-01-01T09:45:02.261815077Z 9555
2022-01-01T09:50:02.221934362Z 9554
2022-01-01T09:55:02.170505654Z 9554
2022-01-01T10:00:01.408892247Z 9554
2022-01-01T10:05:01.382156788Z 9553
2022-01-01T10:10:01.535248926Z 9553
2022-01-01T10:15:01.796138372Z 9553
2022-01-01T10:20:01.973999313Z 9552
2022-01-01T10:25:01.857594813Z 9552
2022-01-01T10:30:01.567863551Z 9553
2022-01-01T10:35:01.311671509Z 9553
2022-01-01T10:40:02.044367111Z 9554
2022-01-01T10:45:02.012722427Z 9556
2022-01-01T10:50:01.731100106Z 9558
2022-01-01T10:55:01.402989477Z 9559
2022-01-01T11:00:01.449530755Z 9558
2022-01-01T11:05:02.299000751Z 9558
2022-01-01T11:10:01.461260145Z 9557
2022-01-01T11:15:02.307425799Z 9557
2022-01-01T11:20:01.996648079Z 9555
2022-01-01T11:25:01.704868854Z 9556
2022-01-01T11:30:01.756828344Z 9554
2022-01-01T11:35:01.656406659Z 9553
2022-01-01T11:40:01.856771141Z 9553
2022-01-01T11:45:01.506588322Z 9553
2022-01-01T11:50:01.40809412Z  9552
2022-01-01T11:55:02.171613107Z 9552
2022-01-01T12:00:02.008667892Z 9551
2022-01-01T12:05:01.694574843Z 9550
2022-01-01T12:10:01.423937856Z 9548
2022-01-01T12:15:01.830042413Z 9549
2022-01-01T12:20:01.829295413Z 9549
2022-01-01T12:25:01.5268865Z   9550
2022-01-01T12:30:01.370171207Z 9550
2022-01-01T12:35:02.062863709Z 9551
2022-01-01T12:40:01.970887159Z 9552
2022-01-01T12:45:01.92377428Z  9551
2022-01-01T12:50:01.707581316Z 9551
2022-01-01T12:55:01.408440105Z 9552
2022-01-01T13:00:02.150766824Z 9551
2022-01-01T13:05:01.865837755Z 9552
2022-01-01T13:10:01.806592853Z 9551
2022-01-01T13:15:01.756742253Z 9550
2022-01-01T13:20:01.364017511Z 9550
2022-01-01T13:25:02.294268444Z 9548
2022-01-01T13:30:02.035151961Z 9550
2022-01-01T13:35:01.762363559Z 9549
2022-01-01T13:40:01.913559013Z 9549
2022-01-01T13:45:01.607089368Z 9548
2022-01-01T13:50:01.63705777Z  9547
2022-01-01T13:55:01.57276026Z  9545
2022-01-01T14:00:01.437004718Z 9545
2022-01-01T14:05:01.35729331Z  9544
2022-01-01T14:10:02.235741157Z 9544
2022-01-01T14:15:01.324120287Z 9545
2022-01-01T14:20:02.203051449Z 9545
2022-01-01T14:25:02.057428073Z 9544
2022-01-01T14:30:02.149381658Z 9546
2022-01-01T14:35:01.425325697Z 9547
2022-01-01T14:40:02.154775457Z 9548
2022-01-01T14:45:02.205605848Z 9550
2022-01-01T14:50:02.267828528Z 9551
2022-01-01T14:55:02.192840205Z 9551
2022-01-01T15:00:02.007944453Z 9551
2022-01-01T15:05:01.69164643Z  9552
2022-01-01T15:10:01.68529107Z  9553
2022-01-01T15:15:01.556722034Z 9554
2022-01-01T15:20:02.286910855Z 9554
2022-01-01T15:25:01.971468114Z 9553
2022-01-01T15:30:01.607096522Z 9553
2022-01-01T15:35:01.353891801Z 9553
2022-01-01T15:40:02.049870457Z 9553
2022-01-01T15:45:01.752617417Z 9554
2022-01-01T15:50:01.465000616Z 9555
2022-01-01T15:55:02.108699283Z 9554
2022-01-01T16:00:01.826604301Z 9554
2022-01-01T16:05:01.743450474Z 9553
2022-01-01T16:10:01.450259069Z 9554
2022-01-01T16:15:02.1174998Z   9554
2022-01-01T16:20:01.882719641Z 9555
2022-01-01T16:25:01.617678215Z 9556
2022-01-01T16:30:01.300393101Z 9555
2022-01-01T16:35:01.999358042Z 9552
2022-01-01T16:40:01.745103535Z 9554
2022-01-01T16:45:01.477264373Z 9554
2022-01-01T16:50:01.728573519Z 9554
2022-01-01T16:55:01.640197564Z 9554
2022-01-01T17:00:01.358591569Z 9555
2022-01-01T17:05:02.068103459Z 9556
2022-01-01T17:10:02.235481595Z 9557
2022-01-01T17:15:01.333656919Z 9557
2022-01-01T17:20:02.034245094Z 9557
2022-01-01T17:25:01.43286264Z  9558
2022-01-01T17:30:02.19079552Z  9559
2022-01-01T17:35:01.900940836Z 9558
2022-01-01T17:40:01.69156308Z  9558
2022-01-01T17:45:01.813898886Z 9558
2022-01-01T17:50:01.549253741Z 9559
2022-01-01T17:55:02.265784344Z 9559
2022-01-01T18:00:01.999554372Z 9559
2022-01-01T18:05:01.743089084Z 9558
2022-01-01T18:10:01.811162094Z 9558
2022-01-01T18:15:01.64903482Z  9558
2022-01-01T18:20:01.684609912Z 9558
2022-01-01T18:25:01.490497754Z 9558
2022-01-01T18:30:02.183625647Z 9558
2022-01-01T18:35:01.594194274Z 9559
2022-01-01T18:40:01.332726565Z 9559
2022-01-01T18:45:01.444772919Z 9560
2022-01-01T18:50:01.495659908Z 9561
2022-01-01T18:55:01.360054321Z 9562
2022-01-01T19:00:02.223263092Z 9561
2022-01-01T19:05:02.186767463Z 9562
2022-01-01T19:10:02.049002783Z 9562
2022-01-01T19:15:01.813376756Z 9562
2022-01-01T19:20:01.557086253Z 9563
2022-01-01T19:25:01.747578548Z 9562
2022-01-01T19:30:01.595354104Z 9563
2022-01-01T19:35:01.436199912Z 9563
2022-01-01T19:40:02.140039698Z 9563
2022-01-01T19:45:02.000795503Z 9564
2022-01-01T19:50:01.6912916Z   9564
2022-01-01T19:55:01.413715745Z 9565
2022-01-01T20:00:02.104930444Z 9564
2022-01-01T20:05:02.002551577Z 9565
2022-01-01T20:10:01.863225337Z 9565
2022-01-01T20:15:01.719417276Z 9565
2022-01-01T20:20:01.471012266Z 9567
2022-01-01T20:25:02.220430528Z 9566
2022-01-01T20:30:01.919811463Z 9569
2022-01-01T20:35:01.658411596Z 9567
2022-01-01T20:40:01.381166075Z 9566
2022-01-01T20:45:02.26581972Z  9567
2022-01-01T20:50:01.975398007Z 9567
2022-01-01T20:55:01.687178193Z 9566
2022-01-01T21:00:01.43348518Z  9566
2022-01-01T21:05:01.534382757Z 9567
2022-01-01T21:10:02.230099743Z 9567
2022-01-01T21:15:01.985552451Z 9566
2022-01-01T21:20:02.016989421Z 9567
2022-01-01T21:25:01.764389066Z 9567
2022-01-01T21:30:01.47766907Z  9568
2022-01-01T21:35:01.355815779Z 9569
2022-01-01T21:40:02.123160892Z 9569
2022-01-01T21:45:01.524166747Z 9569
2022-01-01T21:50:01.559856908Z 9569
2022-01-01T21:55:01.681489495Z 9570
2022-01-01T22:00:01.701048774Z 9570
2022-01-01T22:05:01.612050095Z 9569
2022-01-01T22:10:01.832079514Z 9570
2022-01-01T22:15:02.1920655Z   9569
2022-01-01T22:20:02.217728679Z 9569
2022-01-01T22:25:02.102368579Z 9569
2022-01-01T22:30:01.835089026Z 9569
2022-01-01T22:35:01.541732763Z 9569
2022-01-01T22:40:01.458145475Z 9569
2022-01-01T22:45:02.214742606Z 9569
2022-01-01T22:50:01.522590899Z 9569
2022-01-01T22:55:01.639822057Z 9569
2022-01-01T23:00:01.713935018Z 9568
2022-01-01T23:05:01.581117422Z 9569
2022-01-01T23:10:01.506402327Z 9569
2022-01-01T23:15:01.668022495Z 9570
2022-01-01T23:20:01.445415092Z 9570
2022-01-01T23:25:02.192478441Z 9570
2022-01-01T23:30:02.261988941Z 9568
2022-01-01T23:35:02.059482187Z 9567
2022-01-01T23:40:02.266542756Z 9568
2022-01-01T23:45:02.078894449Z 9569
2022-01-01T23:50:01.469201172Z 9569
2022-01-01T23:55:02.180681302Z 9568
2022-01-02T00:00:02.241612873Z 9569
2022-01-02T00:05:01.9319824Z   9568
2022-01-02T00:10:01.614630913Z 9567
2022-01-02T00:15:01.383090295Z 9567
2022-01-02T00:20:01.490265267Z 9567
2022-01-02T00:25:01.321846387Z 9567
2022-01-02T00:30:02.054468121Z 9566
2022-01-02T00:35:02.015988375Z 9566
2022-01-02T00:40:01.702718399Z 9566
2022-01-02T00:45:01.511261121Z 9566
2022-01-02T00:50:02.254531762Z 9567
2022-01-02T00:55:01.957884492Z 9566
2022-01-02T01:00:01.94990871Z  9565
2022-01-02T01:05:01.616565147Z 9565
2022-01-02T01:10:01.674195663Z 9565
2022-01-02T01:15:01.604175277Z 9565
2022-01-02T01:20:01.302452868Z 9565
