name: WX-T
time                           value
----                           -----
2021-12-31T23:00:01.721108904Z 1.96
2021-12-31T23:05:01.474935103Z 1.94
2021-12-31T23:10:01.637158239Z 2.04
2021-12-31T23:15:01.391656425Z 2.03
2021-12-31T23:20:01.716703278Z 1.96
2021-12-31T23:25:02.00694111Z  1.87
2021-12-31T23:30:01.775040162Z 2.04
2021-12-31T23:35:01.524128157Z 1.78
2021-12-31T23:40:01.42510614Z  1.81
2021-12-31T23:45:02.127931284Z 1.9
2021-12-31T23:50:02.042023137Z 1.83
2021-12-31T23:55:01.936621597Z 2.0
2022-01-01T00:00:01.754943219Z 2.03
2022-01-01T00:05:02.165508878Z 1.72
2022-01-01T00:10:01.855887736Z 1.76
2022-01-01T00:15:01.598266483Z 1.46
2022-01-01T00:20:01.562038186Z 1.59
2022-01-01T00:25:01.349077798Z 1.58
2022-01-01T00:30:01.451252488Z 1.36
2022-01-01T00:35:02.161472661Z 2.14
2022-01-01T00:40:02.231416158Z 2.18
2022-01-01T00:45:02.097036423Z 1.75
2022-01-01T00:50:02.301631785Z 1.82
2022-01-01T00:55:02.172048189Z 0.78
2022-01-01T01:00:02.019276984Z 0.76
2022-01-01T01:05:01.974319017Z 0.91
2022-01-01T01:10:01.71321496Z  0.68
2022-01-01T01:15:01.403942511Z 0.66
2022-01-01T01:20:02.250033167Z 0.98
2022-01-01T01:25:01.953955039Z 1.06
2022-01-01T01:30:02.222014754Z 1.06
2022-01-01T01:35:01.908039331Z 0.14
2022-01-01T01:40:01.982865688Z 0.77
2022-01-01T01:45:01.711514174Z 0.76
2022-01-01T01:50:01.847389864Z 0.62
2022-01-01T01:55:01.549880789Z 0.58
2022-01-01T02:00:02.239731225Z 0.46
2022-01-01T02:05:02.076714054Z 0.3
2022-01-01T02:10:06.021198347Z 0.38
2022-01-01T02:15:01.832038998Z 0.05
2022-01-01T02:20:01.825650335Z -0.04
2022-01-01T02:25:03.909741099Z 0.24
2022-01-01T02:30:01.687229049Z 0.06
2022-01-01T02:40:01.414331081Z 0.04
2022-01-01T02:45:02.245827162Z 0.36
2022-01-01T02:50:02.253745322Z 0.98
2022-01-01T02:55:01.90905434Z  0.38
2022-01-01T03:00:01.805913751Z 0.43
2022-01-01T03:05:01.407767988Z 0.3
2022-01-01T03:10:02.372290251Z 0.06
2022-01-01T03:15:02.139332699Z 0.05
2022-01-01T03:20:02.214351522Z 0.16
2022-01-01T03:25:06.112808388Z 0.39
2022-01-01T03:30:02.393825641Z 0.82
2022-01-01T03:35:02.088685698Z 0.72
2022-01-01T03:40:01.874309251Z 0.78
2022-01-01T03:45:01.673488261Z 0.66
2022-01-01T03:50:02.215360392Z 0.44
2022-01-01T03:55:01.911990644Z 0.18
2022-01-01T04:00:01.944014554Z 0.04
2022-01-01T04:10:01.445817877Z -0.22
2022-01-01T04:15:01.67437908Z  -0.24
2022-01-01T04:20:01.691116404Z -0.22
2022-01-01T04:25:01.395723411Z -0.11
2022-01-01T04:30:01.283202679Z -0.2
2022-01-01T04:35:02.21753425Z  -0.59
2022-01-01T04:40:01.801124238Z -0.52
2022-01-01T04:45:02.079408099Z -0.53
2022-01-01T04:50:01.397660172Z -0.45
2022-01-01T04:55:01.296613309Z -0.64
2022-01-01T05:00:02.20177676Z  -0.32
2022-01-01T05:05:01.919177522Z -0.33
2022-01-01T05:10:01.728351064Z -0.67
2022-01-01T05:15:01.833906919Z -0.76
2022-01-01T05:20:02.068649812Z -0.63
2022-01-01T05:25:01.962600554Z -0.63
2022-01-01T05:30:01.89126789Z  -0.76
2022-01-01T05:35:02.025177959Z -0.73
2022-01-01T05:40:01.841596592Z -0.72
2022-01-01T05:45:01.607701034Z -0.66
2022-01-01T05:50:01.531632793Z -0.7
2022-01-01T05:55:01.599696594Z -0.93
2022-01-01T06:00:01.307391756Z -0.87
2022-01-01T06:05:02.05264531Z  -1.16
2022-01-01T06:10:01.73758439Z  -1.02
2022-01-01T06:15:01.519701146Z -0.92
2022-01-01T06:20:01.568680285Z -1.26
2022-01-01T06:25:02.276549272Z -1.18
2022-01-01T06:30:01.426804041Z -0.96
2022-01-01T06:35:01.473344187Z -0.51
2022-01-01T06:40:01.358206814Z -0.22
2022-01-01T06:45:02.161099994Z -0.36
2022-01-01T06:50:01.969448092Z -0.77
2022-01-01T06:55:01.671873279Z -0.9
2022-01-01T07:00:01.364666134Z -0.94
2022-01-01T07:05:02.044741339Z -0.96
2022-01-01T07:10:01.387243508Z -1.08
2022-01-01T07:15:02.101299303Z -1.14
2022-01-01T07:20:02.031530849Z -0.84
2022-01-01T07:25:01.950899218Z -1.0
2022-01-01T07:30:01.656610751Z -0.6
2022-01-01T07:35:01.401897078Z -0.48
2022-01-01T07:40:01.33544604Z  -0.23
2022-01-01T07:45:02.301072296Z 0.22
2022-01-01T07:50:01.571013925Z 0.52
2022-01-01T07:55:01.397164647Z 0.48
2022-01-01T08:00:01.399042842Z 0.58
2022-01-01T08:05:02.177965835Z 0.14
2022-01-01T08:15:01.956298781Z 0.49
2022-01-01T08:25:01.973109906Z 0.44
2022-01-01T08:30:02.314549752Z 0.61
2022-01-01T08:35:02.192328098Z 0.68
2022-01-01T08:40:01.863085224Z 0.78
2022-01-01T08:45:01.692191943Z 0.85
2022-01-01T08:50:01.487135902Z 0.92
2022-01-01T08:55:01.6843876Z   1.21
2022-01-01T09:00:01.662284011Z 1.46
2022-01-01T09:05:01.42514256Z  1.6
2022-01-01T09:10:01.475903221Z 1.79
2022-01-01T09:15:02.274237782Z 2.06
2022-01-01T09:20:02.027064848Z 2.26
2022-01-01T09:25:01.805883893Z 2.72
2022-01-01T09:30:02.137681891Z 2.94
2022-01-01T09:35:02.047173498Z 3.44
2022-01-01T09:40:01.536353975Z 3.92
2022-01-01T09:45:02.261815077Z 4.32
2022-01-01T09:50:02.221934362Z 4.29
2022-01-01T09:55:02.170505654Z 4.33
2022-01-01T10:00:01.408892247Z 4.36
2022-01-01T10:05:01.382156788Z 4.56
2022-01-01T10:10:01.535248926Z 4.73
2022-01-01T10:15:01.796138372Z 4.74
2022-01-01T10:20:01.973999313Z 4.7
2022-01-01T10:25:01.857594813Z 4.92
2022-01-01T10:30:01.567863551Z 4.7
2022-01-01T10:35:01.311671509Z 4.92
2022-01-01T10:40:02.044367111Z 5.15
2022-01-01T10:45:02.012722427Z 5.04
2022-01-01T10:50:01.731100106Z 5.03
2022-01-01T10:55:01.402989477Z 5.5
2022-01-01T11:00:01.449530755Z 5.78
2022-01-01T11:05:02.299000751Z 5.52
2022-01-01T11:10:01.461260145Z 5.63
2022-01-01T11:15:02.307425799Z 5.61
2022-01-01T11:20:01.996648079Z 6.12
2022-01-01T11:25:01.704868854Z 6.22
2022-01-01T11:30:01.756828344Z 6.19
2022-01-01T11:35:01.656406659Z 6.59
2022-01-01T11:40:01.856771141Z 6.95
2022-01-01T11:45:01.506588322Z 7.16
2022-01-01T11:50:01.40809412Z  7.38
2022-01-01T11:55:02.171613107Z 7.46
2022-01-01T12:00:02.008667892Z 7.68
2022-01-01T12:05:01.694574843Z 7.92
2022-01-01T12:10:01.423937856Z 8.06
2022-01-01T12:15:01.830042413Z 8.09
2022-01-01T12:20:01.829295413Z 8.19
2022-01-01T12:25:01.5268865Z   8.08
2022-01-01T12:30:01.370171207Z 8.14
2022-01-01T12:35:02.062863709Z 8.38
2022-01-01T12:40:01.970887159Z 8.18
2022-01-01T12:45:01.92377428Z  8.42
2022-01-01T12:50:01.707581316Z 8.38
2022-01-01T12:55:01.408440105Z 8.24
2022-01-01T13:00:02.150766824Z 8.2
2022-01-01T13:05:01.865837755Z 8.2
2022-01-01T13:10:01.806592853Z 8.2
2022-01-01T13:15:01.756742253Z 8.15
2022-01-01T13:20:01.364017511Z 8.1
2022-01-01T13:25:02.294268444Z 7.94
2022-01-01T13:30:02.035151961Z 7.98
2022-01-01T13:35:01.762363559Z 8.19
2022-01-01T13:40:01.913559013Z 8.2
2022-01-01T13:45:01.607089368Z 8.44
2022-01-01T13:50:01.63705777Z  8.31
2022-01-01T13:55:01.57276026Z  8.38
2022-01-01T14:00:01.437004718Z 8.28
2022-01-01T14:05:01.35729331Z  8.25
2022-01-01T14:10:02.235741157Z 8.49
2022-01-01T14:15:01.324120287Z 8.36
2022-01-01T14:20:02.203051449Z 8.48
2022-01-01T14:25:02.057428073Z 8.42
2022-01-01T14:30:02.149381658Z 8.18
2022-01-01T14:35:01.425325697Z 8.04
2022-01-01T14:40:02.154775457Z 7.96
2022-01-01T14:45:02.205605848Z 7.81
2022-01-01T14:50:02.267828528Z 7.81
2022-01-01T14:55:02.192840205Z 7.82
2022-01-01T15:00:02.007944453Z 7.91
2022-01-01T15:05:01.69164643Z  7.75
2022-01-01T15:10:01.68529107Z  8.0
2022-01-01T15:15:01.556722034Z 7.65
2022-01-01T15:20:02.286910855Z 7.54
2022-01-01T15:25:01.971468114Z 7.48
2022-01-01T15:30:01.607096522Z 7.26
2022-01-01T15:35:01.353891801Z 6.76
2022-01-01T15:40:02.049870457Z 6.82
2022-01-01T15:45:01.752617417Z 6.72
2022-01-01T15:50:01.465000616Z 6.81
2022-01-01T15:55:02.108699283Z 6.69
2022-01-01T16:00:01.826604301Z 6.62
2022-01-01T16:05:01.743450474Z 6.32
2022-01-01T16:10:01.450259069Z 5.98
2022-01-01T16:15:02.1174998Z   6.28
2022-01-01T16:20:01.882719641Z 6.02
2022-01-01T16:25:01.617678215Z 6.16
2022-01-01T16:30:01.300393101Z 5.9
2022-01-01T16:35:01.999358042Z 5.86
2022-01-01T16:40:01.745103535Z 5.82
2022-01-01T16:45:01.477264373Z 6.02
2022-01-01T16:50:01.728573519Z 5.94
2022-01-01T16:55:01.640197564Z 5.9
2022-01-01T17:00:01.358591569Z 5.82
2022-01-01T17:05:02.068103459Z 5.46
2022-01-01T17:10:02.235481595Z 5.34
2022-01-01T17:15:01.333656919Z 5.37
2022-01-01T17:20:02.034245094Z 5.06
2022-01-01T17:25:01.43286264Z  5.07
2022-01-01T17:30:02.19079552Z  4.92
2022-01-01T17:35:01.900940836Z 5.16
2022-01-01T17:40:01.69156308Z  5.26
2022-01-01T17:45:01.813898886Z 5.1
2022-01-01T17:50:01.549253741Z 5.18
2022-01-01T17:55:02.265784344Z 4.94
2022-01-01T18:00:01.999554372Z 4.91
2022-01-01T18:05:01.743089084Z 4.97
2022-01-01T18:10:01.811162094Z 4.96
2022-01-01T18:15:01.64903482Z  4.84
2022-01-01T18:20:01.684609912Z 4.41
2022-01-01T18:25:01.490497754Z 4.7
2022-01-01T18:30:02.183625647Z 4.67
2022-01-01T18:35:01.594194274Z 4.66
2022-01-01T18:40:01.332726565Z 4.61
2022-01-01T18:45:01.444772919Z 4.71
2022-01-01T18:50:01.495659908Z 4.73
2022-01-01T18:55:01.360054321Z 4.12
2022-01-01T19:00:02.223263092Z 3.96
2022-01-01T19:05:02.186767463Z 3.82
2022-01-01T19:10:02.049002783Z 3.87
2022-01-01T19:15:01.813376756Z 3.98
2022-01-01T19:20:01.557086253Z 3.74
2022-01-01T19:25:01.747578548Z 3.88
2022-01-01T19:30:01.595354104Z 3.95
2022-01-01T19:35:01.436199912Z 3.9
2022-01-01T19:40:02.140039698Z 3.78
2022-01-01T19:45:02.000795503Z 3.66
2022-01-01T19:50:01.6912916Z   3.43
2022-01-01T19:55:01.413715745Z 3.18
2022-01-01T20:00:02.104930444Z 3.04
2022-01-01T20:05:02.002551577Z 2.95
2022-01-01T20:10:01.863225337Z 3.04
2022-01-01T20:15:01.719417276Z 2.8
2022-01-01T20:20:01.471012266Z 3.02
2022-01-01T20:25:02.220430528Z 2.96
2022-01-01T20:30:01.919811463Z 2.79
2022-01-01T20:35:01.658411596Z 2.72
2022-01-01T20:40:01.381166075Z 2.92
2022-01-01T20:45:02.26581972Z  2.78
2022-01-01T20:50:01.975398007Z 2.84
2022-01-01T20:55:01.687178193Z 3.02
2022-01-01T21:00:01.43348518Z  2.74
2022-01-01T21:05:01.534382757Z 2.0
2022-01-01T21:10:02.230099743Z 1.88
2022-01-01T21:15:01.985552451Z 2.04
2022-01-01T21:20:02.016989421Z 2.02
2022-01-01T21:25:01.764389066Z 2.0
2022-01-01T21:30:01.47766907Z  2.2
2022-01-01T21:35:01.355815779Z 2.36
2022-01-01T21:40:02.123160892Z 2.29
2022-01-01T21:45:01.524166747Z 2.29
2022-01-01T21:50:01.559856908Z 2.32
2022-01-01T21:55:01.681489495Z 2.16
2022-01-01T22:00:01.701048774Z 2.16
2022-01-01T22:05:01.612050095Z 2.18
2022-01-01T22:10:01.832079514Z 2.71
2022-01-01T22:15:02.1920655Z   2.26
2022-01-01T22:20:02.217728679Z 2.22
2022-01-01T22:25:02.102368579Z 2.36
2022-01-01T22:30:01.835089026Z 1.98
2022-01-01T22:35:01.541732763Z 2.0
2022-01-01T22:40:01.458145475Z 2.34
2022-01-01T22:45:02.214742606Z 2.37
2022-01-01T22:50:01.522590899Z 2.43
2022-01-01T22:55:01.639822057Z 2.54
2022-01-01T23:00:01.713935018Z 2.4
2022-01-01T23:05:01.581117422Z 2.35
2022-01-01T23:10:01.506402327Z 2.04
2022-01-01T23:15:01.668022495Z 1.88
2022-01-01T23:20:01.445415092Z 2.0
2022-01-01T23:25:02.192478441Z 2.02
2022-01-01T23:30:02.261988941Z 2.04
2022-01-01T23:35:02.059482187Z 2.04
2022-01-01T23:40:02.266542756Z 2.12
2022-01-01T23:45:02.078894449Z 2.19
2022-01-01T23:50:01.469201172Z 2.08
2022-01-01T23:55:02.180681302Z 1.78
2022-01-02T00:00:02.241612873Z 1.6
2022-01-02T00:05:01.9319824Z   1.56
2022-01-02T00:10:01.614630913Z 1.46
